Position ID,Action,Amount,Units,Open Date,Close Date,Leverage,Spread,Profit,Open Rate,Close Rate,Take profit rate,Stop lose rate,Rollover Fees and Dividends,Copied From,Type,ISIN,Notes
2316441559,Buy Orsted A/S, 1.26 ,0.015126,04/11/2022 11:18:54,25/11/2022 13:46:43,1, 0.00 ,(0.01), 632.45 , 629.45 ," 9,834.64 ", 0.16 , 0.00 ,jaynemesis,CFD,,
2316604367,Buy Wabtec Corp, 1.26 ,0.013404,04/11/2022 13:30:40,23/11/2022 20:08:37,1, 0.00 , 0.08 , 94.00 , 99.93 ," 1,007.71 ", 0.00 , 0.00 ,jaynemesis,Stocks,US9297401088,
2316599490,Buy SunPower Corp, 1.26 ,0.066491,04/11/2022 13:30:30,23/11/2022 20:00:22,1, 0.00 , 0.33 , 18.95 , 23.96 , 183.48 , 0.00 , 0.00 ,jaynemesis,Stocks,US8676524064,
2316597344,Buy Trane Technologies, 1.26 ,0.007496,04/11/2022 13:30:25,23/11/2022 19:59:23,1, 0.00 , 0.09 , 168.08 , 179.55 ," 1,665.64 ", 0.00 , 0.00 ,jaynemesis,Stocks,IE00BK9ZQ967,
2325620485,"Sell Tesla Motors, Inc.", 1.05 ,0.005625,16/11/2022 20:56:05,23/11/2022 19:57:52,1, 0.00 , 0.02 , 186.66 , 183.46 , 0.00 , 279.94 , 0.00 ,jaynemesis,CFD,,
2316608043,Buy Ford Motor Co, 1.26 ,0.092038,04/11/2022 13:30:48,21/11/2022 15:01:54,1, 0.00 , 0.02 , 13.69 , 13.91 , 146.63 , 0.00 , 0.01 ,jaynemesis,Stocks,US3453708600,
2316441556,Buy Ethereum, 1.05 ,0.000653,04/11/2022 11:18:54,18/11/2022 04:11:23,1, 0.02 ,(0.26)," 1,608.16 "," 1,204.45 ", 0.00 , 0.00 , 0.00 ,jaynemesis,Crypto,,
2316632578,Buy SolarEdge Technologies, 1.26 ,0.005455,04/11/2022 13:31:54,17/11/2022 19:22:26,1, 0.00 , 0.36 , 230.99 , 296.25 ," 2,842.61 ", 0.00 , 0.00 ,jaynemesis,Stocks,US83417M1045,
2320900157,Buy ProShares UltraPro QQQ, 17.49 ,0.875818,10/11/2022 14:39:29,16/11/2022 14:32:22,1, 0.06 , 2.11 , 19.97 , 22.38 , 30.15 , 22.80 , 0.00 ,GreenbullInvest,CFD,,
2316441674,Buy Shell PLC, 4.78 ,0.168902,04/11/2022 11:19:19,16/11/2022 08:00:40,1, 0.00 ,(0.27)," 2,523.00 "," 2,388.00 "," 2,634.96 ", 880.64 , 0.04 ,GreenbullInvest,Stocks,GB00BP6MXD84,
2316595124,"Buy Tesla Motors, Inc.", 1.59 ,0.007142,04/11/2022 13:30:20,15/11/2022 19:09:06,1, 0.00 ,(0.21), 222.64 , 192.95 ," 3,633.05 ", 0.00 , 0.00 ,GreenbullInvest,Stocks,US88160R1014,
2316595608,"Buy Tesla Motors, Inc.", 3.18 ,0.014276,04/11/2022 13:30:21,15/11/2022 19:08:59,1, 0.00 ,(0.43), 222.75 , 192.95 ," 3,831.01 ", 0.00 , 0.00 ,GreenbullInvest,Stocks,US88160R1014,
2316623546,Buy ProShares UltraPro Short S&P 500, 1.05 ,0.056825,04/11/2022 13:31:29,15/11/2022 15:14:09,1, 0.00 ,(0.20), 18.48 , 14.94 , 235.97 , 0.00 , 0.00 ,jaynemesis,CFD,,
2316589064,Sell iShares MSCI Germany ETF, 1.05 ,0.047799,04/11/2022 13:30:09,15/11/2022 14:33:24,1, 0.00 ,(0.15), 21.97 , 25.12 , 0.02 , 29.50 , 0.00 ,jaynemesis,CFD,,
2316614630,Buy Enphase Energy Inc., 1.05 ,0.003461,04/11/2022 13:31:03,11/11/2022 15:16:17,1, 0.00 , 0.04 , 303.41 , 314.04 ," 2,030.16 ", 0.00 , 0.00 ,jaynemesis,Stocks,US29355A1079,
2316613663,Buy Enphase Energy Inc., 1.05 ,0.003459,04/11/2022 13:31:01,11/11/2022 15:15:50,1, 0.00 , 0.03 , 303.57 , 313.50 ," 1,851.59 ", 0.00 , 0.00 ,jaynemesis,Stocks,US29355A1079,
2316441511,Buy Acciona, 1.36 ,0.007629,04/11/2022 11:18:54,11/11/2022 15:12:54,1, 0.00 , 0.03 , 181.80 , 186.10 ," 1,740.28 ", 0.01 , 0.00 ,jaynemesis,Stocks,ES0125220311,
